Edition,Date Published,Link to Newsletter,Title,Tools Tested,Newsletter,LinkedIn Post,Website Header,Website Summary
1,10/9/2025,https://www.linkedin.com/pulse/claude-projects-foundation-thought-partnership-kimberly-bella-f81le,Claude Projects - The Foundation of Thought Partnership,Tool: Claude (Anthropic) - Where to Find It: claude.ai - Cost: Free tier available; Pro subscription for extended features,"How I Used Claude Projects to Structure and Refine a Presentation

I started by creating a dedicated Claude ""project"" for my presentation. Think of projects as persistent workspaces where Claude remembers your context across conversations. I did an initial brain dump of my general talk idea and asked Claude to help me create a structure and flow.

After comparing outputs from multiple AI tools, I returned to Claude for the real iterative work. I had several voice conversations (yes, you can talk to Claude) to work through critical decisions: Should I add another use case? Were there better transitions to make the story more compelling? We decided together on the final structure.

Later in the process, I used Claude to help with proper slide structure given our agreed-upon content, then again to implement feedback from my book club practice session, and finally to refine my talk track.

Key Learnings

Claude excels at sustained creative partnership. The project feature meant I didn't have to explain my context every time. Our conversations built on each other, creating genuine iteration rather than starting from scratch.
Voice conversations change everything. Talking through structural decisions felt more natural than typing, especially for subjective creative choices. The back-and-forth helped me think, not just execute.
Use Claude for decisions, not just drafting. My biggest ""aha"" moment: I wasn't asking Claude to write my presentation. I was using it as a thinking partner to make better choices about structure, flow, and narrative arc.

The irony isn't lost on me. I'm asking you to experiment with AI tools in an article I created by experimenting with AI tools. But that's exactly the point. The messy process of trying, iterating, and discovering what works for you is where the value lives.

You don't need permission, but here it is anyway: If you have Claude Pro, create a Project right now. If you're on the free tier, start a regular conversation and bookmark it, then you can still build continuity by referencing previous discussions. Call it whatever you want. Talk to it like you'd talk to a thoughtful colleague who never gets tired, never judges, and always remembers context when you remind them. The worst that happens? You learn something. The best that happens? You find a thinking partner you didn't know you needed.

Start your own project or bookmarked conversation today.",,Claude Projects: Building a Persistent AI Thinking Partner,"What happens when you stop treating AI as a content generator and start using it as a genuine thinking partner? In this experiment, I explored Claude's Projects feature to develop and refine a presentation through multiple iterative sessions.
The key discovery: Claude Projects creates a persistent workspace where context carries across conversations. No more re-explaining your project every time. Instead, each session builds on the last - from initial brain dump to structure creation, through voice conversations about creative decisions, all the way to final refinements based on practice session feedback.
I found the most value not in having Claude write my presentation, but in using it to think through structural choices, narrative flow, and transitions. Voice conversations proved especially powerful for working through subjective creative decisions in real-time.
This experiment demonstrates how AI tools excel when used for sustained creative partnership rather than one-off tasks. Whether using Claude Pro's Projects feature or bookmarking conversations in the free tier, the ability to maintain context transforms AI from a tool into a collaborator.
[Read the full experiment on LinkedIn →]"
2,10/10/2025,https://www.linkedin.com/pulse/gemini-chatgpt-power-comparison-kimberly-bella-vplwe,Gemini & ChatGPT - The Power of Comparison,Tools: Google Gemini & OpenAI ChatGPT - Where to Find Them: gemini.google.com & chat.openai.com - Cost: Both offer free tiers; paid subscriptions available,"How I Used Them

After my initial Claude brain dump on talking to executives about AI adoption (see Claude Projects: Foundation Thought Partnership - https://www.linkedin.com/pulse/claude-projects-foundation-thought-partnership-kimberly-bella-f81le), I ran the same exercise through both Gemini and ChatGPT. 

Similar to how I might approach discussing concepts with a focus group or in a brainstorming session, I wasn't looking for the ""best"" output, I was looking for diversity of perspective and to learn more about how each tool considers the challenge. 

Each tool approached my presentation structure differently. I extracted the elements that resonated across all three platforms and used those insights to build a stronger first draft than any single tool could have produced alone.

Key Learnings

No single AI tool has a monopoly on good ideas. Each platform's different training and architecture led to genuinely different structural suggestions. Claude might suggest one narrative flow, while ChatGPT proposed a different angle, and Gemini offered yet another perspective.
The best ideas survive cross-platform comparison. When all three tools suggested similar approaches for certain sections, I knew I was onto something strong. When they diverged, it flagged areas where I needed to make intentional creative choices.
This isn't inefficient, it's insurance. Yes, using three tools takes more time upfront. But it prevents you from going too far down a path that only works in one AI's worldview. You're stress-testing your ideas before you even start drafting.

The meta lesson: I didn't trust just one AI to structure my presentation about AI adoption. Why would you? For your next important project or even if you're planning a kid's birthday party, give yourself permission to 'waste' 20 minutes comparing outputs. The strongest ideas reveal themselves immediately. The weak ones get filtered out before you build on them. Call it insurance, call it due diligence, just don't call it inefficient until you've tried it.",,,
3,10/11/2025,https://www.linkedin.com/pulse/planning-k-pop-demon-hunter-iykyk-birthday-party-claude-bella-mkrhc,Planning a K-Pop Demon Hunter (IYKYK) Birthday Party with Claude,Tool: Claude (Anthropic) - Where to Find It: claude.ai - Cost: Free tier available; Pro subscription for extended features,"The Experiment
Can AI help plan a party based on specific media? I tested this by planning my child's birthday party themed around the Netflix movie K-Pop Demon Hunters.

Plot twist: Claude didn't know about the movie (not in its training data which cuts off in January 2025), so it worked purely from the concept I described—""K-pop meets demon hunting."" Would generic theme ideas still work for a party based on specific media?

The Process
Starting Point
One simple prompt: ""K-pop demon hunters themed party - what are some party ideas?""

The Journey (30 minutes across 3 conversations)
Conversation 1: Foundation

Theme exploration (decorations, activities, food)
Guest list and 4-week timeline

Conversation 2: Deep Dive

10+ game concepts
Scavenger hunt mechanics (individual vs. team)
Three ""Pin the"" game variations
Prize budget breakdown

Conversation 3: Food & Beverage

Themed snacks with creative names
Korean-inspired options

What Claude Created:
Complete 4-week planning timeline with tasks
10+ unique game concepts blending K-pop and demon hunting
Detailed activity stations with setup checklists
Themed menu (""Power-up Potions,"" ""Demon Defeating Dumplings"")
Prize distribution strategy
Music playlist suggestions

Techniques That Worked
Be Specific When It Matters

❌ ""What games should I have?""
✅ ""K-pop demon hunter games for individual play?""

Build Incrementally Tackle one category at a time rather than asking for everything at once.

Use Voice for Brainstorming, Text for Structure Voice chat works great for ideation, but switch to text when you need document updates or detailed outputs.

The Results
What Surprised Me:
Generic ideas still worked - Even without knowing the movie, Claude created cohesive K-pop + demon hunting concepts
Practical details included - Not just ideas, but checklists, timing, and setup notes
Budget-conscious - Helped work within constraints rather than suggesting expensive options

Limitations:
No specific references - Couldn't suggest ideas based on actual characters or scenes from the movie
Voice-to-artifact gaps - Couldn't update documents during voice conversations
Generic approach - All suggestions were conceptual, not tied to specific movie elements kids would recognize

The Verdict: 8/10
AI excelled at:

Generating creative ideas quickly
Organizing information systematically
Remembering context across conversations
Working productively despite knowledge gaps

Could improve:

Movie-specific references (knowledge limitation)
Proactive suggestions for next steps
Quantity estimates (had to prompt for this)

The Knowledge Gap Insight:
Claude's lack of movie knowledge didn't prevent usefulness, it just meant planning was concept-based rather than specific to the film. For media-based parties, you'll need to add character names, iconic scenes, and recognizable moments yourself.

Alternative Approach - Using Perplexity: For movie-specific details, use Perplexity alongside Claude:

Perplexity: Research character names, key scenes, visual style from K-Pop Demon Hunters
Claude: Organize info into party plans, create checklists, manage budget
Best of both: Facts from Perplexity + planning from Claude = complete party with specific references

Try It Yourself!
Experiment Ideas:
Beginner:

Plan one aspect of your next event (menu, activities, or timeline)
Combine two unrelated themes and see what AI creates
Give AI a budget constraint and see how creative it gets

Intermediate:

Plan the same event for different age groups and compare
Blend traditions from different cultures
Test how well context persists across multiple conversations

Advanced:

Use Perplexity to gather facts, then Claude to organize them into a plan
Ask AI to plan from different perspectives (budget-conscious vs. luxury)
Deliberately give conflicting requirements and observe trade-offs

Starter Prompts:
For Party Planning:

""I'm planning a [age] birthday with a [theme] theme. What are some activity ideas?""
""Help me create a timeline for [event] happening in [timeframe]""
""I have [budget] for [category]. How should I allocate it?""

For Creative Projects:

""Combine [concept A] and [concept B] - brainstorm ideas""
""Develop this basic idea into a complete plan: [your idea]""
""Give me [number] variations on [concept] for [audience]""

Pro Tips:
Start broad, then narrow - Let AI brainstorm first, then add constraints
Request specific formats - Ask for checklists, timelines, or budgets when you need structure
Mix tools strategically - Research tools for facts, planning tools for organization
Save effective prompts - Note what works well for future use

The Bigger Picture
AI isn't just for coding or writing—it's surprisingly effective for creative project planning. The key is treating it as a collaborative brainstorming partner, not a magic solution.

The lesson: Even with knowledge gaps, AI provided useful scaffolding and creative direction. For media-based projects, AI gives you the framework; you add the specific details fans care about.

This made party planning actually fun instead of overwhelming. Now I just need all of the K-pop demon hunter decorations to arrive in time... 🎤👻

Your Turn: What could you plan with AI this week?

Time Investment: ~30 minutes across 3 conversations Usefulness: High - Complete, actionable party plan Fun Factor: Unexpectedly high
",,,
4,10/13/2025,https://www.linkedin.com/pulse/when-youth-basketball-schedule-has-everything-except-add-bella-3a7ic,"When the Youth Basketball Schedule Has Everything Except an ""Add to Calendar"" Button",Tool: ChatGPTWhere to Find It: chat.openai.comCost: Free tier available; Plus subscription ($20/month) for enhanced features,"I had a problem. Actually, I had a perfectly functional schedule. The park district's website listed seven weeks of youth basketball games with all the information I needed: dates, times, locations, matchups. The problem? No .ics file. No ""add to calendar"" button. Just text on a webpage and the prospect of manually typing 14 events into Google Calendar.

The experiment: Could I turn this static webpage into something my calendar app would actually understand?

What I Did
I copy/pasted all of the schedule text from the website into ChatGPT and said: ""Turn this into a .ics file I can import to Google Calendar. Here's what you need to know: Team A is our team, the first team listed wears white (home), second team wears blue (away), games are 60 minutes, add a 30-minute reminder, and we're in Central US time.""

What Happened
In about 90 seconds, I had a downloadable calendar file with:

Clean event titles: ""Week 4 – Team A vs Team B (Blue)""
All the location details properly formatted
Jersey color logic built right into the title
Reminders set for every game
Timezone correct (because I told it to be)

One click later: 14 games imported to my calendar. Done.

Why This Matters More Than It Should
Look, I could've done this manually. Would've taken me maybe 30 minutes of careful typing, double-checking times, copying field names. But here's what I would've lost:

Mental energy. Every keystroke is a micro-decision. Every field is a chance to fat-finger a time or forget which team wears white. By the time I finished, I'd be drained from something that shouldn't be draining.

Consistency. AI doesn't get bored (or interrupted by one of the basketball players) on game seven and start abbreviating things differently. Every event follows the exact same pattern because I defined that pattern once.

Reusability. Next season? Copy the prompt, paste the new schedule, export, import. Less than two minutes. Or maybe even design an agent to execute it for me when the coaches send the link to the schedule.

The Real Lesson
GenAI doesn't just save time on these administrative tasks—it saves the mental overhead that makes us avoid doing them in the first place. You know that pile of ""I should really..."" tasks? This is how they stop being a pile.

Your turn: Find something tedious in your life that has structure (schedules, lists, repeated formats). Tell an AI what the rules are. See what happens when you stop treating your brain like a data entry clerk.",,,
5,10/14/2025,https://www.linkedin.com/pulse/prompt-actually-worked-text-calendar-kimberly-bella-p4s3c,The Prompt That Actually Worked: Text to Calendar,Tool: ChatGPTWhere to Find It: chat.openai.comCost: Free tier available; Plus subscription ($20/month) for enhanced features,"Yesterday I shared how I turned the park district's basketball schedule into a clean calendar file. Today I'm sharing the exact prompt template I used, because the magic wasn't in the AI, it was in being specific about what I needed.

Here's What I Actually Typed
""I have a list of youth basketball games. Each week includes a date, time, location, and two teams.

Our team is Team A. The first team listed is always home (wears white). The second team is away (wears blue).

Please generate an .ics file for import into Google Calendar, include game duration of 60 minutes, and set 30-minute reminders before each event. Use America/Chicago timezone.""

Then I pasted the schedule below that.

Why This Worked
I taught the AI my business rules. Not just ""make me a calendar"" but ""here's how jersey colors work"" and ""here's who 'we' are."" Context transforms generic output into something actually useful.

I was specific about the format. .ics file. Google Calendar. 60-minute duration. 30-minute reminders. When you know what you want, say what you want.

I included the timezone. Because time without timezone context is just a number that will haunt you later when half the games are wrong (or you miss the first one like I did).

What You Can Adapt
This same pattern works for:

Class schedules (""Professor office hours are in Building C unless noted..."")
Work rotations (""Weekend shifts get +$5/hr in the title..."")
Medication reminders (""Morning meds before 8am, evening after 6pm..."")
Project milestones (""Flag anything due within 3 days as high priority..."")

The structure is always:

Here's my data
Here's the context you need to understand it
Here's the format I need back
Here are the specific rules to follow

Try It Yourself
Open ChatGPT or Claude. Drop in any schedule or list that needs structure. Start with:

""Turn this into a calendar (.ics) with these rules...""

Then tell it your rules.

If it works, you just saved yourself 30 minutes. If it doesn't, you learned something about how to prompt better next time. Either way, you're experimenting, and that's the point.",,,
6,10/16/2025,https://www.linkedin.com/pulse/day-peloton-forgot-my-run-gpt-5-rebuilt-from-data-sources-bella-wgaqc,The Day Peloton Forgot My Run (and GPT 5 Rebuilt It from Disconnected Data Sources),"Tool: ChatGPT (GPT 5) - Where to find it: chat.openai.com - What it costs: Could have used free ChatGPT, but Pro subscription made it faster ($20/month)","When your fitness app fails, AI can still finish the story.

My Peloton app glitched during a long run. GPS failed to connect, heart rate was tracking on my Apple Watch, but not properly in the Peloton app. Two hours of effort vanished into the digital void. Instead of giving up on logging the workout entirely, I turned to GPT 5 with a simple question: ""Can you estimate my calorie burn from miles, pace, and heart rate?""

In seconds, it reconstructed everything. Based on 11.8 miles (which I was able to calculate in MapMyRun) at a 10:12 per mile pace and an average heart rate of 155 bpm hovering in upper Zone 3 to low Zone 4, it calculated approximately 1,250 calories burned. But the calculation itself wasn't the most valuable part of the interaction.

What followed was more illuminating. GPT 5 explained why Peloton doesn't allow manual workout entries and walked me through how to backfill the missing data through Apple Health or Strava instead. That was the real insight from this experiment.

Generative AI isn't just for writing or coding anymore. It functions as a thinking partner that can rebuild missing data, explain the logic behind system limitations, and translate raw numbers into actionable meaning. What started as a frustrating tech glitch turned into a small reminder that AI's usefulness often appears in the everyday gaps between our tools, filling in spaces we didn't even know needed filling.

What I Learned
Before calculating my specific workout, GPT 5 walked me through different methods for estimating calorie burn:

Basic method: Body weight and distance only (roughly 0.63 calories per pound per mile). Fast but least accurate since it ignores pace, terrain, and fitness level.
Moderate accuracy: Adding pace and heart rate improves estimates to within 10-15% of lab measurements. Heart rate captures real effort including hills, heat, and fatigue.
Highest accuracy: VO2 max and metabolic equations account for individual running economy. Requires fitness testing data most people don't have.

The real insight wasn't just getting a number to log, it was understanding why different tools make different tradeoffs between convenience and precision.

Written during a long-run recovery stretch fueled by curiosity and coffee.",,,
7,10/17/2025,https://www.linkedin.com/pulse/rapid-prototyping-real-limitations-kimberly-bella-3ujdc,Rapid Protoyping with Real Limitations,Tool: Gamma - Where to Find It: gamma.app - Cost: Free tier available; paid plans for advanced features,"How I Used It
Once I had my structure finalized, I used Gamma for initial deck generation. I explained my audience and goals, chose a general theme, and Gamma created a complete first draft in seconds with content, images, speaker notes, everything.

I exported to PowerPoint and worked within my Claude project to refine the story, keeping Gamma's slide designs while changing most of the content. When I tried to re-import my refined version back into Gamma for additional design help, I hit a wall. Nothing imported correctly. As a workaround, I created dummy slides in Gamma with the structure I needed and exported those to work with in PowerPoint.

Key Learnings
Gamma is brilliant for breaking the blank page problem. That initial rush of having a complete deck in seconds gave me momentum. Even though I changed most of the content, having something to react to was psychologically powerful.
Know the tool's limitations before you commit. The import failure taught me an important lesson: Gamma works best as a one-way street. Use it to generate, but don't expect a round-trip workflow. Plan your process accordingly.
Speed isn't the same as quality, but it enables quality. Gamma didn't write my final presentation, but it got me to 30% in 30 seconds. That meant I could spend my creative energy on the other 70% instead of starting from zero.
Design templates matter more than you think. Even though I rewrote the content, keeping Gamma's visual structure gave my deck a professional polish I wouldn't have achieved on my own in PowerPoint.",,,
8,10/21/2025,https://www.linkedin.com/pulse/data-science-deep-dive-analyzing-3-years-peloton-gemini-bella-a4nxc,Data Science Deep Dive: Analyzing 3 Years of Peloton Data with Gemini 2.5 Flash,Tool: Gemini 2.5 Flash - Cost: Free (Paid tier available),,,,
9,10/22/2025,https://www.linkedin.com/pulse/when-chatgpt-tried-build-my-half-marathon-playlist-kimberly-bella-q2bvc,When ChatGPT 'Tried' to Build My Half Marathon Playlist,"Today's experiment: Building a personalized half marathon playlist with AI, specifically using ChatGPT's Spotify integration","I had a simple ask. I needed a playlist for my upcoming half marathon, but not some generic ""pump up"" mix. I wanted something that understood my target pace, my tendency to start too fast, and exactly when I'd hit that mental wall around mile 10.

So naturally, I asked ChatGPT to be my DJ.

What Worked: ChatGPT Turned into a Running Strategist
Here's where things got interesting.

ChatGPT didn't just spit out a list of songs. It built me a complete race strategy disguised as a playlist:

Miles 1-2: Easy tempo tracks to prevent my usual rookie mistake of sprinting out the gate. 
Miles 3-8: Steady BPM songs perfectly synced to my target cadence. 
Miles 9-12: Strategic ""anthem placements"" which is basically musical caffeine for when everything hurts. 
Final 5K: Pure audio adrenaline.

The AI even offered multiple export formats (CSV, M3U) and explained the psychology behind each track placement. It understood that running isn't just physical, it's deeply mental. And music is the hack.

What Amazed: Direct-to-Spotify Magic
Then ChatGPT flexed its integration muscles.

With a few prompts, it created actual Spotify playlists, complete with embedded widgets. No copy-paste. No manual searching. Just ""here's your playlist, click to play.""

We're talking about going from conversation to curated experience in seconds. This is the promise of GenAI realized: natural language as the universal remote control.

What Failed: When the API Goes Silent
And then... reality check.

My final request was a ""Motivational Anthem Edition"" (I needed a few songs from the mid-90's Jock Jams CDs we used for basketball warmups in high school) with perfectly placed power songs between high-BPM tracks, but I hit a wall. The Spotify integration died. ChatGPT could still describe exactly what it would create, how it would structure the energy peaks, where it would place ""Eye of the Tiger"" for maximum impact.

But it couldn't actually make the playlist anymore. The brain was willing. The API was not.

Takeaways
We've mostly solved the intelligence problem. ChatGPT can think like a coach, a DJ, a sports psychologist, and a data analyst simultaneously.

What we haven't solved? The plumbing.

The gap between AI's capabilities and real-world execution isn't about smarts anymore, it's about connections. It's about whether Spotify's API is having a good day. Whether authentication tokens are playing nice. Whether the digital bridges between platforms are open for business.

The bottom line: GenAI has graduated from ""can it understand?"" to ""can it ship?"" And right now, that second question depends more on APIs than algorithms.

ChatGPT gave me the perfect race-day playlist strategy. It just couldn't hit play.",,,
10,10/24/2025,https://www.linkedin.com/pulse/case-color-changing-sometimes-disappearing-shirt-kimberly-bella-2inzf,The Case of the Color-Changing (and Sometimes Disappearing) Shirt,"Tools: FaceTune, ChatGPT - Where to find them: FaceTune (mobile app stores), chat.openai.com - What it costs: FaceTune (free trial, then subscription), ChatGPT (free tier available, Plus subscription $20/month)","The Challenge: A friend needed her headshot edited to match her brand colors - specifically, changing her blue dress to purple. Simple enough, right? Well, as with most things in AI, the journey was more interesting than expected.

The Experiment Path

First Stop: FaceTune My instinct was to reach for the specialized tool. FaceTune has solid photo editing capabilities and usually offers trial access to new features. Their natural language editing seemed perfect for this task.

Attempt #1: ""Make her dress purple"" Result: The AI decided my friend didn't need a shirt at all. Not quite the professional look we were going for.

Attempt #2: ""Make the blue dress she is wearing purple"" Result: A purple sequined tube top materialized. Festive? Yes. Professional headshot appropriate? Not so much.

Second Stop: FaceTune's Clothing Editor Time to try a more structured approach. I dove into their clothing editor feature, searching for purple professional attire.

The closest match: A pink button-up shirt Result: The swap worked, except the AI rendered it completely unbuttoned. We're sensing a pattern here with FaceTune's interpretation of professional attire.

Final Stop: ChatGPT At this point, why not try the general-purpose model?

The prompt: ""Make her shirt purple instead of blue"" Result: Perfect. Not only did it change the color accurately, but it preserved the original dress's style, maintained the dark and light color variations, and kept everything appropriately buttoned and professional.

The Takeaway

Sometimes we assume specialized tools will outperform general models at specific tasks. After all, that's what they're built for, right? But today's experiment revealed an important lesson: general-purpose AI models can sometimes outperform specialized tools, especially for straightforward transformations.

ChatGPT likely succeeded because:

It understood the context better (professional headshot = keep it professional)
It focused on color transformation rather than clothing replacement
It preserved the original garment's characteristics while only changing the specified attribute

The Meta-Lesson

When tackling an AI task, consider starting with the generalist before moving to the specialist. It might save you from explaining to your friend why their professional headshot now features an unbuttoned shirt or sequined tube top.

Tools Used

FaceTune

What: AI-powered photo and video editing app
Features tested: Natural language editing, Clothing editor
Access: Free trial available for most features
Link: facetune.com

ChatGPT

What: OpenAI's general-purpose AI assistant
Feature used: Image editing via DALL-E integration
Access: Available with ChatGPT Plus subscription
Link: chat.openai.com

Experiment Stats:

Tools tested: 2 (with 4 different approaches)
Unwanted wardrobe malfunctions: 3
Time to perfect result: ~15 minutes
Lesson learned: Priceless

Have you had similar experiences where a general AI tool surprised you by outperforming a specialized one? Share your stories!",,,
