title,date,category,excerpt,image,tags,slug
"After a Week of Mixed Results, AI Delivers Something My Kid Actually Loves",2025-11-17,Tool Comparison,"Last night's experiment started with homework frustration and ended with genuine delight, the kind where my seven-year-old actually asked to do more word practice. If you're a parent who's witnessed t...",/images/posts/after-a-week-of-mixed-results-ai-delivers-something-my-kid-actually-loves.jpg,Claude,after-a-week-of-mixed-results-ai-delivers-something-my-kid-actually-loves
"Atlas Edition - Part 2: Watching Paint Dry, AI Edition - The Restaurant Reservation Saga",2025-10-29,Tool Comparison,"Armed with ChatGPT Atlas, I set out on what should have been a simple task: book restaurant reservations for a weekend trip. What followed was a masterclass in AI inefficiency.",/images/posts/atlas-edition-part-2-watching-paint-dry-ai-edition-the-restaurant-reservation-saga.png,ChatGPT,atlas-edition-part-2-watching-paint-dry-ai-edition-the-restaurant-reservation-saga
ChatGPT Atlas Edition - Part 1: The Privacy Paradox - ChatGPT Wants Your Browser History,2025-10-29,Tool Comparison,What happened,/images/posts/chatgpt-atlas-edition-part-1-the-privacy-paradox-chatgpt-wants-your-browser-history.png,,chatgpt-atlas-edition-part-1-the-privacy-paradox-chatgpt-wants-your-browser-history
Claude Projects - The Foundation of Thought Partnership,2025-10-09,Tool Comparison,"What happens when you stop treating AI as a content generator and start using it as a genuine thinking partner? In this experiment, I explored Claude's Projects feature to develop and refine a presentation through multiple iterative sessions. The key discovery: Claude Projects creates a persistent workspace where context carries across conversations. No more re-explaining your project every time. Instead, each session builds on the last - from initial brain dump to structure creation, through voice conversations about creative decisions, all the way to final refinements based on practice session feedback. I found the most value not in having Claude write my presentation, but in using it to think through structural choices, narrative flow, and transitions. Voice conversations proved especially powerful for working through subjective creative decisions in real-time. This experiment demonstrates how AI tools excel when used for sustained creative partnership rather than one-off tasks. Whether using Claude Pro's Projects feature or bookmarking conversations in the free tier, the ability to maintain context transforms AI from a tool into a collaborator. [Read the full experiment on LinkedIn →]",/images/posts/claude-projects-the-foundation-of-thought-partnership.png,Claude,claude-projects-the-foundation-of-thought-partnership
Custom Instructions to Combat GenAI Hallucinations,2025-11-07,Tool Comparison,"On Wednesday I shared an example of a wild hallucination that resulted from the Gamma implementation of GPT5. Today, I'd like to share some tips on how to use custom instructions in the models you use...",/images/posts/custom-instructions-to-combat-genai-hallucinations.png,"Claude, ChatGPT, Gemini, Perplexity",custom-instructions-to-combat-genai-hallucinations
Data Science Deep Dive: Analyzing 3 Years of Peloton Data with Gemini 2.5 Flash,2025-10-21,Tool Comparison,,/images/posts/data-science-deep-dive-analyzing-3-years-of-peloton-data-with-gemini-2-5-flash.png,Gemini,data-science-deep-dive-analyzing-3-years-of-peloton-data-with-gemini-2-5-flash
Gemini & ChatGPT - The Power of Comparison,2025-10-10,Tool Comparison,How I Used Them,/images/posts/gemini-chatgpt-the-power-of-comparison.png,"ChatGPT, Gemini",gemini-chatgpt-the-power-of-comparison
"Hands-on with ""Nano Banana Pro"": Context, Cartoons, and Guardrails",2025-11-23,Tool Comparison,Yesterday's experiment started with a simple goal: test whether Google's latest image model understands context or just follows instructions. The results revealed both a massive leap forward in AI's a...,/images/posts/hands-on-with-nano-banana-pro-context-cartoons-and-guardrails.jpg,Gemini,hands-on-with-nano-banana-pro-context-cartoons-and-guardrails
Planning a K-Pop Demon Hunter (IYKYK) Birthday Party with Claude,2025-10-11,Tool Comparison,The Experiment Can AI help plan a party based on specific media? I tested this by planning my child's birthday party themed around the Netflix movie K-Pop Demon Hunters.,/images/posts/planning-a-k-pop-demon-hunter-iykyk-birthday-party-with-claude.png,Claude,planning-a-k-pop-demon-hunter-iykyk-birthday-party-with-claude
Quick Take: Knowing the Risks Matters — A Reminder from the AI Safety Index,2025-12-04,Tool Comparison,"This week, I dug into the latest AI safety pulse check: the Future of Life Institute's ""AI Safety Index: Winter 2025."" It reviews eight leading AI companies across six critical domains, from risk asse...",/images/posts/quick-take-knowing-the-risks-matters-a-reminder-from-the-ai-safety-index.jpg,,quick-take-knowing-the-risks-matters-a-reminder-from-the-ai-safety-index
Rapid Protoyping with Real Limitations,2025-10-17,Tool Comparison,"How I Used It Once I had my structure finalized, I used Gamma for initial deck generation. I explained my audience and goals, chose a general theme, and Gamma created a complete first draft in seconds...",/images/posts/rapid-protoyping-with-real-limitations.jpg,,rapid-protoyping-with-real-limitations
